source_chunk_id,published_date,source_raw,source_type,relation,target_raw,target_type,evidence,confidence
art_0282::c0000,2023-05-19,Software designed to detect child abuse images on smartphones,Technology,USES,Client-side scanning (CSS),Technology,Client-side scanning (CSS ...,0.9
art_0286::c0000,2023-05-23,Ryan Specialty,Company,ACQUIRED,Socius Insurance Services,Company,it has signed a definitive agreement to acquire Socius Insurance Services,0.99
art_0288::c0000,2023-06-30,L&T Technology Services Limited,Company,PARTNERED_WITH,Palo Alto Networks,Company,L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings,0.96
art_0285::c0000,2023-05-14,Adama Sesay,Person,WORKED_AT,Wyss,Company,At the Wyss Adama is a member of the Advanced Technology Team,0.95
art_0298::c0000,2023-02-16,SoftBank,Company,PARTNERED_WITH,Oasys,Company,SoftBank will become an official network validator on Oasys,0.95
art_0296::c0000,2023-06-30,Jeff McKinney,Person,WORKED_AT,Stuttgart School Board,Company,Superintendent Jeff McKinney first recommended that the ...,0.8
art_0299::c0000,2023-02-01,Truescope,Company,ACQUIRED,Universal Information Services,Company,Truescope Acquires US Firm Universal Information Services. Australian media intelligence company Truescope has strengthened its position in North America by acquiring leading agency Universal Information Services (UIS).,0.96
art_0289::c0000,2023-05-23,Samsung,Company,DEVELOPED,OLED display with embedded heart rate sensor,Technology,Samsung unveils OLED display with embedded heart rate sensor.,0.95
art_0289::c0000,2023-05-23,Samsung,Company,USES,light-sensing organic photodiode (OPD),Technology,Samsung’s Sensor OLED Display comes with an embedded light-sensing organic photodiode (OPD),0.9
art_0294::c0000,2023-03-10,Yen Sun Technology (YS Tech),Company,PARTNERED_WITH,China car vendors,Company,YS Tech working closely with China car vendors.,0.85
art_0294::c0000,2023-03-10,Yen Sun Technology (YS Tech),Company,PARTNERED_WITH,Chinese customers,Company,it will work closely with Chinese customers,0.8
art_0292::c0000,2023-02-06,Huawei,Company,USES,Zoom,Technology,Huawei’s US$400 million investment in cloud infrastructure for its services in the Kingdom and the launch of a Zoom cloud area,0.78
art_0292::c0000,2023-02-06,Abdullah bin Amer Alswaha,Person,WORKED_AT,Communications and Information Technology (MCIT),Company,Abdullah bin Amer Alswaha the Minister of Communications and Information Technology (MCIT),0.92
